,Risk_Tolerance,Portfolio_Diversity,Age,Annual_Income,Years_Experience,Successful_Investment,Risk_Tolerance_Clean
97,High,5.0,29.0,63877.5086005171,9.0,0,High
98,2,3.0,30.0,35284.23193362136,6.0,0,Medium
99,Medium,3.0,34.0,46184.35102135593,6.0,0,Medium
100,,1.0,50.0,58660.06362680438,10.0,0,Medium
101,High,3.0,40.0,77535.32863504166,16.0,1,High
102,Medium,5.0,38.0,45508.71394179943,9.0,0,Medium
103,H,6.0,38.0,61630.95174798783,14.0,1,High
104,Low,7.0,47.0,77224.11870424362,28.0,1,Low
105,Low,8.0,49.0,14509.82070826796,25.0,1,Low
106,Medium,3.0,18.0,26932.55539813117,0.0,0,Medium
107,Medium,5.0,56.0,78819.0371646935,0.0,1,Medium
108,Low,6.0,31.0,19211.39482498348,1.0,0,Low
109,Low,4.0,44.0,88656.2983205754,10.0,0,Low
110,,3.0,28.0,32198.555713510013,4.0,1,Medium
111,High,4.0,56.0,102850.7811028483,9.0,1,High
112,Low,8.0,57.0,73080.6209050424,47.0,1,Low
113,Medium,4.0,32.0,51376.39106069227,11.0,0,Medium
114,Medium,9.0,20.0,20120.03943646561,0.0,0,Medium
115,2,8.0,51.0,71386.42335044128,8.0,1,Medium
116,High,1.0,56.0,103814.7931691668,18.0,0,High
117,Medium,9.0,53.0,75739.28572768437,11.0,1,Medium
118,2,4.0,49.0,60166.98253479843,20.0,1,Medium
119,Medium,5.0,49.0,93647.14061604236,3.0,1,Medium
120,Low,7.0,51.0,70458.41644705662,41.0,1,Low
121,High,5.0,40.0,85322.64891858811,11.0,0,High
122,3,5.0,26.0,11274.074994981667,1.0,0,Medium
123,M,5.0,100.0,149512.0106120769,54.0,1,Medium
124,High,2.0,52.0,97845.55449603192,32.0,1,High
125,Medium,3.0,33.0,1104650.5510532237,8.0,1,Medium
126,Medium,8.0,32.0,46747.62345272463,13.0,1,Medium
127,1,4.0,60.0,108283.27224477052,34.0,0,Medium
128,2,8.0,47.0,61299.44931231313,17.0,1,Medium
129,High,6.0,22.0,40349.28919087853,4.0,1,High
130,Unknown,10.0,62.0,98825.01345515966,40.0,1,Medium
131,1,5.0,41.0,37150.52954396568,11.0,0,Medium
132,M,9.0,44.0,38442.71346551813,15.0,1,Medium
133,Low,5.0,51.0,67371.90394849042,5.0,1,Low
134,M,4.0,62.0,105754.99911048854,11.0,0,Medium
135,Low,9.0,51.0,8408.760511759578,22.0,0,Low
136,High,4.0,30.0,70122.58936271438,2.0,0,High
137,Medium,6.0,47.0,87744.53305256991,18.0,0,Medium
138,1,4.0,66.0,119673.56263947408,28.0,0,Medium
139,Low,6.0,45.0,62508.43069472815,18.0,1,Low
140,Medium,7.0,62.0,84534.12971219812,52.0,1,Medium
141,2,8.0,35.0,2156.6943193690386,12.0,1,Medium
142,Low,7.0,51.0,140447.74493984066,6.0,0,Low
143,Medium,6.0,42.0,75704.86742218408,24.0,1,Medium
144,H,1.0,18.0,11658.62282120966,0.0,0,High
145,High,5.0,34.0,67835.73541265036,14.0,0,High
146,M,7.0,27.0,787.4659488830512,1.0,0,Medium
147,high,2.0,40.0,55287.77460786115,21.0,1,High
148,2,7.0,22.0,10682.220853015817,4.0,1,Medium
149,Low,10.0,44.0,116895.17476942504,32.0,1,Low
150,,3.0,54.0,107450.38308539629,34.0,0,Medium
151,High,6.0,28.0,28451.41872811681,3.0,1,High
152,High,6.0,39.0,44602.12376578613,6.0,0,High
153,MEDIUM,9.0,40.0,62291.13945462213,11.0,1,Medium
154,Medium,8.0,21.0,44131.211521129866,3.0,0,Medium
155,M,8.0,62.0,77979.87292102267,33.0,1,Medium
156,2,8.0,60.0,65091.648591926016,40.0,1,Medium
157,2,8.0,36.0,78098.02472503763,10.0,1,Medium
158,Medium,4.0,39.0,81994.61045029375,5.0,1,Medium
159,Low,10.0,63.0,84993.90210957108,15.0,1,Low
160,1,6.0,76.0,106998.57568529058,1.0,1,Medium
161,1,9.0,55.0,78404.91462892288,3.0,1,Medium
162,High,5.0,32.0,44084.14577536494,1.0,1,High
163,Medium,7.0,36.0,43930.09073756823,3.0,0,Medium
164,Low,6.0,60.0,92812.24818807308,26.0,0,Low
165,Unknown,3.0,36.0,67018.81604521924,2.0,1,Medium
166,,9.0,51.0,63717.88658819223,15.0,0,Medium
167,Medium,6.0,57.0,92874.03875622398,47.0,1,Medium
168,High,4.0,36.0,72765.19134029764,16.0,1,High
169,Low,7.0,60.0,115542.13195337378,5.0,1,Low
170,High,4.0,30.0,17152.702354485307,9.0,0,High
171,High,3.0,31.0,86862.98928811168,10.0,0,High
172,Medium,7.0,67.0,0.0,32.0,1,Medium
173,3,3.0,44.0,107590.19868949417,19.0,0,Medium
174,Low,8.0,52.0,56609.976766825246,12.0,0,Low
175,2,5.0,48.0,98255.23808650624,12.0,1,Medium
176,H,1.0,34.0,34299.32536163482,9.0,0,High
177,High,5.0,53.0,49956.79823412535,31.0,1,High
178,Low,7.0,53.0,108089.05126304332,3.0,0,Low
179,Medium,9.0,39.0,78208.20408486626,11.0,1,Medium
180,High,6.0,22.0,24093.20322245417,11.0,1,High
181,Low,9.0,70.0,76855.85304242757,16.0,0,Low
182,L,6.0,74.0,102319.32704354984,23.0,1,Low
183,Medium,2.0,43.0,41229.26020017956,33.0,1,Medium
184,Medium,3.0,43.0,101671.6612171658,6.0,1,Medium
185,Low,5.0,51.0,47526.55631044248,16.0,0,Low
186,High,5.0,18.0,18306.68524625234,0.0,0,High
187,2,8.0,44.0,33405.15150631058,16.0,1,Medium
188,M,9.0,22.0,49986.73538189221,1.0,1,Medium
189,3,4.0,30.0,86535.15804250557,2.0,1,Medium
190,2,7.0,44.0,81271.0527568162,11.0,0,Medium
191,Medium,3.0,48.0,128135.77551304054,20.0,0,Medium
192,Medium,2.0,42.0,65091.648591926016,8.0,0,Medium
193,HIGH,3.0,18.0,0.0,0.0,0,High
194,Unknown,9.0,55.0,48335.51718899847,23.0,1,Medium
195,Medium,8.0,57.0,125795.89168548257,22.0,1,Medium
196,High,3.0,57.0,94573.18809917924,11.0,1,High
197,3,6.0,21.0,32756.121947417138,2.0,1,Medium
198,1,5.0,61.0,73504.63148857401,26.0,1,Medium
199,Unknown,8.0,43.0,84029.01530044407,11.0,0,Medium
200,Medium,5.0,44.0,35021.25591318203,7.0,0,Medium
201,High,3.0,37.0,68192.03012500223,9.0,0,High
202,Low,4.0,67.0,95610.22069661814,29.0,1,Low
203,Low,4.0,47.0,38691.02404261261,37.0,1,Low
204,H,3.0,47.0,65091.648591926016,2.0,0,High
205,High,3.0,28.0,63607.12958221045,1.0,1,High
206,,3.0,37.0,99322.2135523711,11.0,0,Medium
207,3,6.0,38.0,65091.648591926016,10.0,1,Medium
208,Medium,7.0,40.0,93442.12273964244,11.0,1,Medium
209,M,6.0,46.0,23977.674086091647,15.0,0,Medium
210,Medium,4.0,45.0,66272.49820809858,19.0,1,Medium
211,High,2.0,18.0,66548.31050189689,0.0,1,High
212,Low,7.0,46.0,30580.67782043023,19.0,1,Low
213,Unknown,8.0,54.0,43484.59932889282,24.0,0,Medium
214,High,6.0,56.0,86601.2928551877,9.0,1,High
215,3,2.0,56.0,119773.18663467036,35.0,0,Medium
216,Low,4.0,42.0,64259.856927152345,21.0,0,Low
217,2,8.0,49.0,98314.79512388314,17.0,1,Medium
218,Unknown,2.0,28.0,29170.24055143741,3.0,0,Medium
219,Low,6.0,44.0,66567.17909765425,19.0,0,Low
220,1,10.0,28.0,28939.011159617443,11.0,0,Medium
221,3,3.0,44.0,62483.25775870108,19.0,0,Medium
222,2,3.0,41.0,29448.46600552722,8.0,0,Medium
223,2,5.0,49.0,64773.89215137108,12.0,0,Medium
224,,5.0,60.0,86013.58060309265,42.0,1,Medium
225,Medium,2.0,25.0,64698.143051505016,7.0,0,Medium
226,,8.0,49.0,103883.02795160597,11.0,1,Medium
227,Medium,5.0,34.0,36700.42313834069,10.0,1,Medium
228,High,1.0,28.0,11026.597072038276,0.0,0,High
229,Low,9.0,65.0,36876.93421427559,29.0,1,Low
230,High,3.0,38.0,88785.00019166357,11.0,0,High
231,Medium,6.0,41.0,51454.572627782094,3.0,1,Medium
232,medium,5.0,61.0,63604.98860119945,0.0,0,Medium
233,2,5.0,50.0,59815.46349362641,13.0,0,Medium
234,Medium,4.0,46.0,40703.86956237987,24.0,1,Medium
235,Low,6.0,50.0,98793.44217990356,15.0,0,Low
236,LOW,6.0,52.0,43329.74695023024,20.0,0,Low
237,1,7.0,58.0,66378.90471129554,4.0,0,Medium
238,Unknown,5.0,48.0,42919.00096740268,26.0,0,Medium
239,H,6.0,30.0,51790.35885975153,11.0,0,High
240,Low,10.0,44.0,89491.4010903389,17.0,1,Low
241,medium,5.0,54.0,65091.648591926016,20.0,1,Medium
242,High,2.0,42.0,47020.18236601567,18.0,0,High
243,High,-1.0,22.0,31471.821887176204,4.0,0,High
244,,8.0,53.0,118213.06378230432,2.0,0,Medium
245,High,2.0,44.0,37766.97313726428,2.0,1,High
246,Medium,5.0,47.0,56857.36352951341,22.0,1,Medium
247,Low,7.0,73.0,81630.95905692514,11.0,0,Low
248,Medium,3.0,55.0,73859.89501067187,9.0,0,Medium
249,2,6.0,49.0,103822.7648957017,27.0,1,Medium
250,Medium,8.0,43.0,26036.608165545676,8.0,1,Medium
251,L,8.0,63.0,68261.04660206009,30.0,0,Low
252,High,6.0,44.0,25943.55899619093,13.0,1,High
253,High,2.0,33.0,75667.71074091061,12.0,0,High
254,High,5.0,38.0,33706.62085613977,9.0,0,High
255,Medium,5.0,47.0,58245.54097440441,15.0,0,Medium
256,2,8.0,33.0,0.0,2.0,1,Medium
257,M,5.0,16.0,28839.232869289688,0.0,1,Medium
258,2,7.0,51.0,91656.54675993348,9.0,1,Medium
259,L,4.0,44.0,61648.0809587729,18.0,0,Low
260,H,4.0,30.0,70853.62918963541,7.0,0,High
261,Low,-1.0,61.0,88979.89509249145,42.0,1,Low
262,High,1.0,42.0,35479.68804664875,5.0,0,High
263,Medium,8.0,40.0,90858.72682924432,2.0,1,Medium
264,Unknown,8.0,56.0,86627.98253968032,19.0,0,Medium
265,Unknown,4.0,67.0,18384.194047041627,19.0,0,Medium
266,Medium,6.0,25.0,39981.72646280418,6.0,0,Medium
267,L,6.0,54.0,72785.93740929817,11.0,0,Low
268,Unknown,4.0,44.0,0.0,12.0,0,Medium
269,Medium,3.0,39.0,28419.715933794265,16.0,0,Medium
270,1,10.0,53.0,75281.03396763412,13.0,1,Medium
271,1,6.0,64.0,108836.46227473364,42.0,0,Medium
272,Medium,4.0,40.0,78168.04636632305,12.0,0,Medium
273,2,3.0,57.0,137200.02753184372,36.0,1,Medium
274,M,6.0,51.0,60058.90457255709,26.0,0,Medium
275,High,2.0,27.0,55591.8135864072,8.0,0,High
276,Medium,7.0,32.0,60510.32756506464,14.0,0,Medium
277,Medium,6.0,43.0,27684.329146613614,15.0,1,Medium
278,Low,9.0,53.0,28248.482562296296,6.0,1,Low
279,Low,10.0,52.0,34127.139930415,23.0,1,Low
280,Low,10.0,63.0,79070.3072360144,13.0,1,Low
281,Low,7.0,50.0,115308.29654149276,21.0,1,Low
282,High,4.0,45.0,51914.97526037368,8.0,0,High
283,Medium,3.0,52.0,0.0,0.0,1,Medium
284,Medium,8.0,50.0,91680.21936048398,31.0,1,Medium
285,Low,10.0,64.0,154594.75854341837,41.0,1,Low
286,M,8.0,58.0,60909.35070887486,11.0,1,Medium
287,Medium,5.0,44.0,82222.37204039366,12.0,0,Medium
288,Low,10.0,43.0,62846.542615455175,11.0,1,Low
289,low,9.0,53.0,83003.89817056923,11.0,1,Low
290,High,2.0,39.0,70619.86727319934,7.0,0,High
291,Low,9.0,55.0,117768.03435258986,8.0,0,Low
292,,9.0,46.0,116257.47382352511,19.0,1,Medium
293,H,2.0,46.0,25229.820872129225,11.0,0,High
294,Medium,2.0,47.0,84719.48820056063,11.0,0,Medium
295,Medium,6.0,64.0,118741.3798001502,2.0,0,Medium
296,High,2.0,44.0,67351.55527291821,0.0,0,High
297,3,6.0,22.0,63580.13122230471,3.0,0,Medium
298,Low,8.0,54.0,86728.93886234953,33.0,0,Low
299,Unknown,6.0,52.0,83104.06294127135,25.0,1,Medium
300,Low,9.0,52.0,91815.8754314905,23.0,1,Low
301,Medium,7.0,42.0,35697.441191825375,17.0,0,Medium
302,L,8.0,43.0,36484.94976771457,8.0,0,Low
303,Medium,9.0,43.0,59626.3899551258,22.0,1,Medium
304,H,5.0,29.0,63155.73771352384,1.0,0,High
305,High,1.0,33.0,69048.1808018486,8.0,0,High
306,Medium,5.0,40.0,65091.648591926016,9.0,1,Medium
307,High,6.0,38.0,56337.23878044356,20.0,1,High
308,2,4.0,33.0,40790.527303703646,9.0,0,Medium
309,Low,4.0,60.0,53600.76855358208,18.0,0,Low
310,,2.0,31.0,26189.266722773864,3.0,0,Medium
311,High,5.0,26.0,59933.00145435142,4.0,0,High
312,low,8.0,62.0,115665.94089204851,0.0,0,Low
313,Medium,-1.0,21.0,51506.01478620077,1.0,0,Medium
314,High,15.0,40.0,82381.96386993116,13.0,1,High
315,High,2.0,28.0,28662.1948445093,10.0,0,High
316,medium,6.0,29.0,23075.550458756526,3.0,1,Medium
317,1,5.0,45.0,30572.654779162087,12.0,0,Medium
318,Low,10.0,60.0,178508.09156592484,11.0,1,Low
319,High,6.0,28.0,65091.648591926016,8.0,1,High
320,Unknown,5.0,40.0,36557.70462995343,1.0,0,Medium
321,M,4.0,50.0,67081.27614449184,25.0,1,Medium
322,Low,9.0,58.0,80299.83412298743,17.0,1,Low
323,medium,2.0,100.0,151740.58368301034,46.0,0,Medium
324,medium,9.0,52.0,105448.61409776764,11.0,1,Medium
325,M,3.0,44.0,56116.92692444284,14.0,0,Medium
326,LOW,5.0,74.0,143255.2800482462,29.0,0,Low
327,Medium,4.0,56.0,72055.3286123548,24.0,0,Medium
328,MEDIUM,3.0,54.0,112280.92147809642,8.0,0,Medium
329,3,1.0,37.0,11939.861921060225,15.0,1,Medium
330,Low,10.0,40.0,115738.29742924275,0.0,1,Low
331,High,4.0,18.0,39791.24411659024,0.0,0,High
332,Low,4.0,52.0,37163.95858917995,15.0,0,Low
333,medium,5.0,28.0,62095.88377392647,18.0,0,Medium
334,1,6.0,51.0,55091.19479900356,7.0,0,Medium
335,Unknown,5.0,28.0,45141.289477317936,2.0,0,Medium
336,2,5.0,54.0,60596.377898439794,33.0,1,Medium
337,2,3.0,29.0,65091.648591926016,1.0,1,Medium
338,Medium,2.0,44.0,57804.55755819862,12.0,0,Medium
339,M,3.0,57.0,82612.07814910254,19.0,0,Medium
340,1,8.0,46.0,67980.21805946488,6.0,1,Medium
341,High,5.0,34.0,39046.569503438135,9.0,1,High
342,3,2.0,46.0,58489.45495512795,15.0,0,Medium
343,,5.0,52.0,65508.46692248437,0.0,0,Medium
344,Unknown,10.0,50.0,114966.52412885636,20.0,1,Medium
345,Medium,4.0,44.0,152682.69238261555,8.0,0,Medium
346,2,9.0,38.0,0.0,14.0,1,Medium
347,High,6.0,27.0,65091.648591926016,7.0,1,High
348,Low,-1.0,55.0,42913.005984746655,32.0,0,Low
349,Medium,5.0,33.0,70020.9871713983,12.0,1,Medium
350,High,3.0,33.0,44929.246992343535,12.0,0,High
351,3,2.0,25.0,13363.407217751334,0.0,0,Medium
352,Medium,8.0,61.0,111800.98185322124,24.0,0,Medium
353,Low,4.0,52.0,4930.069605061697,8.0,0,Low
354,2,5.0,42.0,39584.77401529981,9.0,0,Medium
355,Medium,6.0,59.0,95747.7581582355,4.0,0,Medium
356,M,5.0,38.0,32832.69319483622,8.0,1,Medium
357,L,6.0,44.0,129491.63274397793,11.0,1,Low
358,M,5.0,52.0,51941.07604960935,22.0,0,Medium
359,Medium,9.0,35.0,6984.525163475093,7.0,0,Medium
360,H,1.0,45.0,88502.53016173428,10.0,1,High
361,Unknown,5.0,26.0,49178.78951397309,3.0,0,Medium
362,Low,5.0,59.0,85714.19196042267,38.0,1,Low
363,Low,5.0,53.0,104906.05471633736,28.0,0,Low
364,Medium,9.0,51.0,120730.14386444163,11.0,1,Medium
365,3,5.0,40.0,58699.74561817029,18.0,1,Medium
366,Unknown,7.0,47.0,53499.25184396232,11.0,0,Medium
367,High,4.0,36.0,55956.74544405306,2.0,0,High
368,Low,10.0,68.0,7250.934683558113,15.0,1,Low
369,2,3.0,41.0,64044.27112382277,14.0,1,Medium
370,L,8.0,60.0,2865772.37183267,1.0,0,Low
371,1,8.0,53.0,139832.41005336322,43.0,0,Medium
372,H,5.0,18.0,43109.074552062346,0.0,0,High
373,Medium,7.0,54.0,56840.826049363975,25.0,1,Medium
374,Low,9.0,59.0,45468.39384112899,24.0,0,Low
375,3,5.0,40.0,104969.53875723272,11.0,0,Medium
376,High,-1.0,20.0,55285.84925779804,1.0,0,High
377,M,6.0,59.0,148198.56711183072,27.0,1,Medium
378,Low,9.0,62.0,43203.25258615901,44.0,1,Low
379,3,5.0,34.0,90534.58813216742,7.0,0,Medium
380,M,5.0,41.0,87933.2833061245,21.0,0,Medium
381,High,5.0,28.0,4705.982261253539,6.0,1,High
382,High,2.0,31.0,58986.31105849698,10.0,1,High
383,Low,8.0,60.0,74989.60866148106,25.0,1,Low
384,3,3.0,54.0,111481.66060372394,5.0,1,Medium
385,L,6.0,67.0,129146.51546151403,20.0,0,Low
386,M,5.0,32.0,24830.51459076766,14.0,0,Medium
387,High,3.0,18.0,14002.23020764488,11.0,0,High
388,2,6.0,56.0,57620.07070702806,11.0,1,Medium
389,Medium,9.0,48.0,125992.79454996888,6.0,1,Medium
390,Low,5.0,60.0,101497.73422776176,39.0,1,Low
391,3,1.0,39.0,81385.67962026308,1.0,0,Medium
392,L,10.0,46.0,28599.17103699663,14.0,1,Low
393,1,4.0,59.0,83078.42190914162,38.0,0,Medium
394,Low,7.0,48.0,65556.7773854787,17.0,1,Low
395,L,4.0,52.0,117276.03516686607,9.0,0,Low
396,2,4.0,30.0,19262.04375580269,5.0,0,Medium
397,1,5.0,58.0,90327.9652790744,11.0,0,Medium
398,Low,10.0,64.0,123399.03832089316,9.0,1,Low
399,L,4.0,53.0,109851.06212285136,11.0,1,Low
400,H,2.0,23.0,25405.25574748501,1.0,0,High
401,High,-1.0,23.0,58173.512462232735,1.0,0,High
402,Medium,5.0,52.0,54790.59804437024,17.0,0,Medium
403,2,9.0,43.0,122588.43765462934,0.0,1,Medium
404,High,5.0,37.0,53638.63891351788,17.0,0,High
405,,8.0,54.0,7856.417498650877,11.0,0,Medium
406,high,4.0,34.0,17894.62579304626,5.0,1,High
407,M,2.0,49.0,75392.30575766315,9.0,1,Medium
408,M,2.0,54.0,80363.7850557723,15.0,1,Medium
409,High,2.0,35.0,39152.9879955114,15.0,0,High
410,H,4.0,52.0,118575.5692303515,17.0,1,High
411,Unknown,6.0,44.0,78788.46639507299,7.0,0,Medium
412,High,5.0,46.0,51871.62238392044,27.0,0,High
413,Low,7.0,81.0,74658.79900534822,28.0,1,Low
414,HIGH,5.0,28.0,110115.82080694812,0.0,0,High
415,High,6.0,28.0,15072.15718510723,5.0,0,High
416,2,9.0,44.0,30231.792452962804,1.0,1,Medium
417,2,4.0,52.0,72616.28465541046,19.0,1,Medium
418,3,3.0,33.0,52541.21884587392,1.0,0,Medium
419,Low,5.0,55.0,36038.18146595577,13.0,0,Low
420,Low,7.0,67.0,706298.2510387999,17.0,0,Low
421,Medium,7.0,53.0,91919.22913306428,29.0,0,Medium
422,Low,6.0,57.0,0.0,32.0,1,Low
423,2,5.0,18.0,4726.477246754101,0.0,0,Medium
424,medium,9.0,27.0,28001.92597311389,5.0,1,Medium
425,,10.0,71.0,74204.73330502593,46.0,1,Medium
426,Medium,5.0,41.0,129754.14942351964,11.0,0,Medium
427,,4.0,66.0,93754.70635144804,35.0,1,Medium
428,L,8.0,48.0,72861.45635370049,11.0,1,Low
429,2,8.0,50.0,65091.648591926016,17.0,1,Medium
430,2,9.0,41.0,96671.80262333291,18.0,1,Medium
431,Medium,8.0,57.0,90033.9209014061,0.0,1,Medium
432,3,3.0,38.0,6346642.523926924,14.0,0,Medium
433,High,3.0,43.0,98105.75754633588,10.0,1,High
434,2,9.0,34.0,37608.510379137006,9.0,1,Medium
435,High,4.0,36.0,28440.22269839101,15.0,0,High
436,High,5.0,42.0,31577.391231586447,7.0,0,High
437,Low,8.0,53.0,43702.78549091093,11.0,0,Low
438,HIGH,6.0,19.0,65091.648591926016,0.0,0,High
439,Low,6.0,67.0,137845.36929158206,12.0,0,Low
440,Low,4.0,61.0,65091.648591926016,25.0,0,Low
441,Medium,4.0,36.0,11295.820811777445,18.0,1,Medium
442,High,3.0,31.0,71593.81262813388,11.0,0,High
443,High,3.0,28.0,23268.75097087293,9.0,1,High
444,2,-1.0,34.0,35926.92611631213,15.0,0,Medium
445,Medium,5.0,39.0,98945.98540591724,19.0,1,Medium
446,Medium,9.0,48.0,76564.28937297863,11.0,1,Medium
447,Low,5.0,39.0,58044.99603002831,11.0,0,Low
448,High,2.0,29.0,57115.794479016135,11.0,1,High
449,Medium,9.0,54.0,52826.45362094378,7.0,0,Medium
450,Medium,2.0,49.0,86253.83359908238,22.0,0,Medium
451,Medium,3.0,66.0,57596.73014384964,41.0,1,Medium
452,Low,5.0,64.0,135602.85498680142,16.0,1,Low
453,3,5.0,18.0,21894.8756473906,0.0,1,Medium
454,low,15.0,50.0,87623.85469376159,22.0,0,Low
455,Medium,5.0,54.0,158255.236936668,2.0,0,Medium
456,Low,8.0,44.0,32482.25250952116,25.0,0,Low
457,Unknown,6.0,61.0,104368.18385159322,17.0,1,Medium
458,Low,4.0,51.0,151750.5579454051,14.0,1,Low
459,High,5.0,41.0,62757.18989360003,17.0,1,High
460,Medium,7.0,43.0,53753.55009123384,18.0,1,Medium
